Timestamp,Please read the consent form and select I agree to continue,UserId,Gender,Age,What is the highest level of education you have completed? ,Nationality,Your interest in music?,Have you had formal training or education related to music?,"If yes, which instrument (or singing) and for how many years?",How many hours in a day do you listen to music?,What kind of music do you like to listen to the most? ,What kind of music do you like to listen to when you feel low? ,Do you listen to music in the background while working? [Choice],When I listen to music I get stuck in bad memories [Choice],"I hide in my music because nobody understands me, and it blocks people out [Choice]",Music helps me relax [Choice],When I try to use music to feel better I actually end up feeling worse [Choice],I feel happier after playing or listening to music [Choice],Music gives me the energy to get going [Choice],I like to listen to songs over and over even though it makes me feel worse [Choice],Music makes me feel bad about who I am [Choice],Music helps me to connect with other people who are like me [Choice],Music gives me an excuse not to face up to the real world [Choice],It can be hard to stop listening to music that connects me to bad memories [Choice],Music leads me to do things I shouldn’t do [Choice],When I’m feeling tense or tired in my body music helps me relax [Choice],"In the past 4 weeks, how often did you feel tired out for no good reason?  [Choice]","In the past 4 weeks, how often did you feel nervous? [Choice]","In the past 4 weeks, how often did you feel so nervous that nothing could calm you down?     [Choice]","In the past 4 weeks, how often did you feel hopeless? [Choice]","In the past 4 weeks, how often did you feel restless or fidgety?  [Choice]","In the past 4 weeks, how often did you feel so restless you could not sit still?  [Choice]","In the past 4 weeks, how often did you feel depressed? [Choice]","In the past 4 weeks, how often did you feel that everything was an effort?  [Choice]","In the past 4 weeks, how often did you feel so sad that nothing could cheer you up? [Choice]","In the past 4 weeks, how often did you feel worthless? [Choice]",Am the life of the party. [Choice],Sympathize with others’ feelings. [Choice],Get chores done right away.  [Choice],Have frequent mood swings. [Choice],Have a vivid imagination. [Choice],Don’t talk a lot. [Choice],Am not interested in other people’s problems. [Choice],Often forget to put things back in their proper place. [Choice],Am relaxed most of the time. [Choice],Am not interested in abstract ideas. [Choice],Talk to a lot of different people at parties. [Choice],Feel others’ emotions. [Choice],Like order. [Choice],Get upset easily. [Choice],I Have difficulty understanding abstract ideas. [Choice],Keep in the background. [Choice],Am not really interested in others. [Choice],Make a mess of things. [Choice],Seldom feel blue. [Choice],Do not have a good imagination. [Choice],How has your music use pattern changed over the past one year?,How would you compare your well-being one year ago and now?,Unhealthy,Healthy,K-10,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2019/03/20 3:59:08 AM GMT+5:30,I Agree,a21ee741f8dfa332b639e4f8ed286910,Male,32,Master's degree,Chile,Enthusiastic,No,,8,Rock,rock,Always,Rarely,Never,Always,Never,Often,Always,Never,Never,Rarely,Often,Rarely,Never,Often,A little of the time,None of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Not much has changed this last 12 months,I feel more or less the same.,13,20,14,3.75,3.5,2.5,3.5,2
2019/03/20 4:06:03 AM GMT+5:30,I Agree,cb73e271b112842db497dcf730827d2e,Male,29,Master's degree,United Kingdom,Enthusiastic,No,,8,Pop,Pop,Always,Sometimes,Never,Often,Rarely,Often,Often,Rarely,Never,Often,Rarely,Never,Never,Often,Some of the time,Some of the time,Some of the time,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,A little of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Started listening to more podcasts in place of music,I feel more or less the same.,13,20,25,4.5,4,2.5,4,3.75
2019/03/20 4:15:15 AM GMT+5:30,I Agree,a384c08f1ae51c6592dfebef6f4f8933,Male,26,Bachelor's degree,United Kingdom,Enthusiastic,No,,5,pop,classical,Often,Rarely,Never,Sometimes,Never,Sometimes,Always,Never,Never,Rarely,Never,Never,Never,Rarely,Some of the time,Most of the time,Some of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,Some of the time,Some of the time,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Varied a bit over time ,I feel better now,9,15,31,4.75,2.5,1.25,5,5
2019/03/20 4:15:38 AM GMT+5:30,I Agree,3c09ebec28e30929dfb69c3659c15068,Male,26,Bachelor's degree,United States,Enthusiastic,No,N/A,8,Rock,rock,Always,Always,Often,Often,Never,Always,Always,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Some of the time,Most of the time,A little of the time,A little of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,"Yes, I change genres often.",I feel better now,16,19,18,4.75,2,2.5,2.25,3.5
2019/03/20 4:16:19 AM GMT+5:30,I Agree,4ffb277278816d11b1efc8cf12336d8f,Female,35,Master's degree,United States,Enthusiastic,No,,12,Rock,rock,Always,Rarely,Rarely,Always,Rarely,Often,Always,Never,Never,Often,Rarely,Never,Never,Always,None of the time,Some of the time,A little of the time,None of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,"Not really, still listen a lot at work and I work 40-60 hours a week",I feel more or less the same.,12,23,17,3.5,2.75,3.25,4.25,1.75
2019/03/20 4:17:35 AM GMT+5:30,I Agree,4e9250bd2c527712ea8123137140d40b,Male,19,High School graduate,United States,Enthusiastic,Yes,"Euphonium, 7",2,Rock,rock,Often,Never,Rarely,Always,Rarely,Always,Often,Never,Never,Often,Rarely,Never,Never,Always,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,None of the time,A little of the time,None of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,I don't listen to music in college as much as I did in high school,I feel better now,11,23,18,4,2.25,2.75,4.5,2.25
2019/03/20 4:18:56 AM GMT+5:30,I Agree,e9ad4919dead1b391edfec4398bb4bd5,Other,24,Master's degree,United States,Enthusiastic,Yes,"Piano, 15",2,hip-hop,rock,Always,Sometimes,Rarely,Often,Rarely,Often,Always,Rarely,Never,Often,Never,Never,Never,Often,Some of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Most of the time,A little of the time,Some of the time,Some of the time,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,I've returned to old habits of setting aside time to enjoy music,Can't say,13,21,33,5,2.25,3,3.25,3
2019/03/20 4:24:38 AM GMT+5:30,I Agree,32f9391bec65796d5ae869df0084956a,Male,26,Master's degree,United Kingdom,Enthusiastic,No,,3,Rock,Mixed,Often,Never,Never,Always,Never,Often,Sometimes,Never,Never,Often,Never,Never,Never,Sometimes,None of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Increased diversity,I feel more or less the same.,8,19,12,4.25,3,2.25,3,1
2019/03/20 4:25:35 AM GMT+5:30,I Agree,c6f5a256200b9582caa459b1053816d7,Male,17,High School graduate,United States,Enthusiastic,No,,5,Mixed,pop,Sometimes,Never,Never,Always,Never,Always,Always,Often,Never,Always,Never,Never,Never,Sometimes,A little of the time,Some of the time,A little of the time,None of the time,Some of the time,Some of the time,None of the time,Some of the time,None of the time,None of the time,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,As in the amount of time I have listened to music? I feel as if I have not been listening to music as much as I was this time last year. I have definitely developed an interest in different genres compared to last year.,I feel more or less the same.,11,23,20,4.25,4.75,3,3.75,3
2019/03/20 4:28:08 AM GMT+5:30,I Agree,941f769992f52ebe04adb36784087a7a,Male,23,High School graduate,United States,Enthusiastic,No,,3.5,hip-hop,classical,Often,Rarely,Rarely,Often,Never,Often,Often,Never,Never,Often,Never,Rarely,Rarely,Often,None of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,None of the time,None of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,"In 2017, I listened to whatever I felt like, on a whim, usually modern Hip-Hop. In 2018, I began a few systems where I would try to broaden my scope. First by listening to Spotify Radio. And now by using Random.org and Billboard archives to select random songs from a series of time periods.",I feel better now,12,20,17,4.75,2,3.5,4,4.25
2019/03/20 4:29:55 AM GMT+5:30,I Agree,970b071aead3dc8f1535eddb8b991944,Male,32,Master's degree,Croatia,Enthusiastic,No,,5,pop,classical,Often,Rarely,Sometimes,Always,Sometimes,Often,Often,Often,Never,Often,Rarely,Never,Never,Often,A little of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Some of the time,Some of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,I listen to music more often at work and while commuting to and from work.,I feel more or less the same.,17,21,34,3.75,3,2.25,4,3
2019/03/20 4:37:16 AM GMT+5:30,I Agree,203c93c3979d4bee308586e4f64712fd,Male,18,High School graduate,Argentina,Enthusiastic,No,,15,classical,Mixed,Sometimes,Rarely,Always,Always,Never,Always,Often,Rarely,Never,Sometimes,Often,Sometimes,Never,Sometimes,Some of the time,Some of the time,Some of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,Some of the time,A little of the time,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"I used to listen to music to keepe going on a lot of stuff happened but recently I started living music not just like something I like but a necessity, I like the idea that music is needed as much as eating and sleeping. It kept me alive in my darkest times but now I enjoy it like nothing else, I couldn't live without it.",I feel better now,19,20,24,2.5,3.25,1.25,2.5,2.75
